id,definitionId,set,dots,slot,tier,level,locked,rerolledCount,equipped,source,assignedTo,primaryStat,primaryValue,primaryValueRaw,primaryRolls,primaryRawRolls,secondary1Stat,secondary1Value,secondary1ValueRaw,secondary1Rolls,secondary1RawRolls,secondary2Stat,secondary2Value,secondary2ValueRaw,secondary2Rolls,secondary2RawRolls,secondary3Stat,secondary3Value,secondary3ValueRaw,secondary3Rolls,secondary3RawRolls,secondary4Stat,secondary4Value,secondary4ValueRaw,secondary4Rolls,secondary4RawRolls,tierName,secondaryRollsTotal,secondaryRollsMaxAtTier,secondaryRollsRemainingAtTier,modQuality,modValue,speedQuality,potentialCeiling,potentialGain,projected6EQuality,nextInvestment,calibrationAttemptsMax,calibrationAttemptsUsed,calibrationAttemptsRemaining,calibrationNextCost,fitScore,primaryFit,secondaryFit,setFit,fitTarget,characterFit,recommendedAction,reason,replacementGain,replacesModId,chainStatus,patchOwner,patchOwnerName,patchSlot,chainId,chainStep,chainLength,chainPath,accountGain,optimizerTarget,optimizerScore,optimizerTotalScore,optimizerBaseScore,optimizerSetBonusScore,optimizerCurrentScore,optimizerGain,optimizerSource,optimizerCandidate,optimizerModScore,optimizerFullBuildGain,optimizerFullBuildSetBonus,chainGain
SBLYH_jPT7u_c4_jp99BDQ,552,Critical Chance,5,Arrow,1,15,False,0,False,MAGAZYN,,Offense %,5.88%,588,0,,Offense,37,370000,1,3697704,Health %,0.72%,72,1,722,Speed,5,50000,1,597810,Potency %,1.49%,149,1,1495,E,4,4,0,100.0,72.0,83.3,72.0,0,0.0,slice,0,0,0,0,21.9,0.0,33.7,0.0,JARJARBINKS,CANDIDATE,SLICE,wartość moda lub dopasowanie do postaci uzasadnia kolejny roll,0.0,,,,,,,,,,,,,,,,,,,,,,,
SQrxJbkoQQKcpmIFsx0LGg,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: IG88,_99o-Wu8SrO65c6RIrem8g,Speed,30,300000,0,,Potency %,1.36%,136,1,1369,Tenacity %,2.1%,210,1,2108,Health,319,3190000,1,31949987,Offense,42,420000,1,4131132,E,4,4,0,100.0,48.5,0.0,48.5,0,0.0,slice,0,0,0,0,29.9,95.1,16.7,0.0,JARJARBINKS,CANDIDATE,KEEP,wartość secondary zbyt niska,0.0,,,,,,,,,,,,,,,,,,,,,,,
WYIppPH4T_OgKOnE8iNqGw,552,Critical Chance,5,Arrow,5,15,False,0,True,POSTAĆ: MAUL,VlElFadkTf6o-_YqwnflHw,Offense %,5.88%,588,0,,Speed,14,140000,3,529290|438510|436230,Defense %,3.62%,362,3,1641|1113|872,Health,269,2690000,1,26999657,Critical Chance %,2.02%,202,1,2025,A,8,8,0,100.0,62.4,77.8,62.4,0,49.7,6-dot,0,0,0,0,27.0,0.0,41.5,0.0,JARJARBINKS,CANDIDATE,SLICE_6E,5A ma wystarczającą wartość lub dopasowanie do postaci,0.0,,,,,,,,,,,,,,,,,,,,,,,
XO20-QSiT_OdbnLqUCur1g,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: AAYLASECURA,RS9O5t5dSA2YiqfvgQojGw,Speed,30,300000,0,,Potency %,1.41%,141,1,1413,Tenacity %,1.68%,168,1,1683,Offense %,0.46%,46,1,468,Critical Chance %,2.18%,218,1,2185,E,4,4,0,100.0,45.2,0.0,45.2,0,0.0,slice,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,KEEP,wartość secondary zbyt niska,0.0,,,,,,,,,,,,,,,,,,,,,,,
_AvlqIewT1W2C0V3Aq0moA,552,Critical Chance,5,Arrow,5,15,False,0,True,POSTAĆ: GEONOSIANSOLDIER,LvNZqxXYT-GiIZkY9B14ZQ,Speed,30,300000,0,,Potency %,1.29%,129,1,1297,Defense,30,300000,4,922131|627102|881853|616175,Offense %,0.82%,82,2,287|535,Health,293,2930000,1,29380530,A,8,8,0,100.0,50.3,0.0,50.3,0,44.4,6-dot,0,0,0,0,31.8,95.1,19.7,0.0,JARJARBINKS,CANDIDATE,SLICE_6E,5A ma wystarczającą wartość lub dopasowanie do postaci,0.0,,,,,,,,,,,,,,,,,,,,,,,
hNNmG5x0SwWPjBFekA-_wQ,552,Critical Chance,5,Arrow,5,15,False,0,True,POSTAĆ: HOTHLEIA,RtJDe5hPSziO9rDKc8VzLw,Speed,30,300000,0,,Defense,6,60000,1,683109,Critical Chance %,2.82%,282,2,1150|1678,Health,908,9080000,3,33968693|21646443|35243778,Tenacity %,4.03%,403,2,1985|2048,A,8,8,0,100.0,36.0,0.0,36.0,0,44.4,6-dot,0,0,0,0,29.4,95.1,15.9,0.0,JARJARBINKS,CANDIDATE,KEEP,5A nie uzasadnia kosztu 6E,0.0,,,,,,,,,,,,,,,,,,,,,,,
o7zCfjDGTDm6frfSu_5UHQ,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: JYNERSO,J5J6kyqwQjuErnn0IY4xFw,Speed,30,300000,0,,Defense,9,90000,1,961233,Protection %,1.24%,124,1,1241,Offense,27,270000,1,2639328,Health,269,2690000,1,26976084,E,4,4,0,100.0,58.5,0.0,58.5,0,0.0,slice,0,0,0,0,40.7,95.1,33.3,0.0,JARJARBINKS,CANDIDATE,SLICE,wartość moda lub dopasowanie do postaci uzasadnia kolejny roll,0.0,,,,,,,,,,,,,,,,,,,,,,,
p_fVP5BPQrydOeq9-Y34zw,552,Critical Chance,5,Arrow,1,15,False,0,False,MAGAZYN,,Health %,5.88%,588,0,,Critical Chance %,1.93%,193,1,1933,Defense %,1.53%,153,1,1531,Speed,5,50000,1,543930,Protection,571,5710000,1,57149433,E,4,4,0,100.0,53.8,83.3,53.8,0,0.0,slice,0,0,0,0,22.3,0.0,34.3,0.0,JARJARBINKS,CANDIDATE,KEEP,obserwuj przed wydaniem materiałów,0.0,,,,,,,,,,,,,,,,,,,,,,,
vJ334euuRHecFdfdCZnJ1g,552,Critical Chance,5,Arrow,3,15,False,0,True,POSTAĆ: HANSOLO,vlBMnzBvScekhGF38W0oig,Speed,30,300000,0,,Offense %,1.33%,133,3,319|473|544,Offense,29,290000,1,2889444,Health,261,2610000,1,26110312,Defense %,1.69%,169,1,1698,C,6,6,0,100.0,74.7,0.0,74.7,0,0.0,slice,0,0,0,0,26.3,95.1,11.1,0.0,JARJARBINKS,CANDIDATE,SLICE,wartość moda lub dopasowanie do postaci uzasadnia kolejny roll,0.0,,,,,,,,,,,,,,,,,,,,,,,
w1x6GZOgRhOeF3U_VF4-9g,552,Critical Chance,5,Arrow,3,15,False,0,True,POSTAĆ: DENGAR,BDU4PKqfT9OYtoYJHvWgEA,Speed,30,300000,0,,Tenacity %,1.77%,177,1,1779,Critical Chance %,5.76%,576,3,1424|2203|2141,Defense,6,60000,1,673701,Health,287,2870000,1,28771918,C,6,6,0,100.0,31.2,0.0,31.2,0,0.0,slice,0,0,0,0,25.9,95.1,10.6,0.0,JARJARBINKS,CANDIDATE,KEEP,wartość secondary zbyt niska,0.0,,,,,,,,,,,,,,,,,,,,,,,
y8WytUpmS7GRd30ql1mPrA,552,Critical Chance,5,Arrow,5,15,False,0,True,POSTAĆ: MISSIONVAO,mC-7d71PST-6m77PaKcJpA,Speed,30,300000,0,,Critical Chance %,2.24%,224,1,2247,Potency %,7.65%,765,4,2048|1924|1560|2118,Defense,9,90000,1,961870,Protection,1455,14550000,2,68358380|77146128,A,8,8,0,100.0,36.4,0.0,36.4,0,76.6,6-dot,0,0,0,0,27.6,95.1,13.3,0.0,JARJARBINKS,CANDIDATE,SLICE_6E,5A ma wystarczającą wartość lub dopasowanie do postaci,0.0,,,,,,,,,,,,,,,,,,,,,,,
z1sVpAShSfOXrc-DA2xuVw,552,Critical Chance,5,Arrow,1,15,False,0,False,MAGAZYN,,Health %,5.88%,588,0,,Tenacity %,1.51%,151,1,1513,Speed,5,50000,1,502860,Critical Chance %,1.73%,173,1,1734,Offense %,0.45%,45,1,459,E,4,4,0,100.0,61.8,83.3,61.8,0,0.0,slice,0,0,0,0,16.2,0.0,25.0,0.0,JARJARBINKS,CANDIDATE,SLICE,wartość moda lub dopasowanie do postaci uzasadnia kolejny roll,0.0,,,,,,,,,,,,,,,,,,,,,,,
zJHpatY4SOuircvJw75qFg,552,Critical Chance,5,Arrow,1,15,False,0,True,POSTAĆ: NIGHTTROOPER,jeM4ja3PSAO-gl1knvsBYQ,Health %,5.88%,588,0,,Speed,5,50000,1,516390,Tenacity %,1.63%,163,1,1639,Health,270,2700000,1,27021087,Defense,7,70000,1,780031,E,4,4,0,100.0,53.0,83.3,53.0,0,0.0,slice,0,0,0,0,26.6,0.0,40.9,0.0,JARJARBINKS,CANDIDATE,KEEP,obserwuj przed wydaniem materiałów,0.0,,,,,,,,,,,,,,,,,,,,,,,
VwWnDFG3SkqOnbsdXZjnPQ,552,Critical Chance,5,Arrow,2,9,False,0,False,MAGAZYN,,Offense %,3.63%,363,0,,Defense %,0.89%,89,1,898,Speed,5,50000,1,500220,Critical Chance %,1.37%,137,1,1370,Protection,711,7110000,1,71136737,D,4,5,1,100.0,53.8,83.3,63.0,9.2,0.0,upgrade,0,0,0,0,22.3,0.0,34.3,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
YOuM88ZbRr2cOweG1TLngg,552,Critical Chance,5,Arrow,2,9,False,0,True,POSTAĆ: THEMANDALORIAN,6lSlnvvGQTOnd0h0WeTJbQ,Speed,19,190000,0,,Protection %,1.14%,114,1,1148,Offense,31,310000,1,3048816,Protection,800,8000000,1,80053228,Defense %,1.36%,136,1,1367,D,4,5,1,100.0,60.5,0.0,64.8,4.3,0.0,upgrade,0,0,0,0,36.5,95.1,26.8,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
aqjuBJbcS1y14JMD6t-e4w,552,Critical Chance,5,Arrow,2,9,False,0,False,MAGAZYN,,Health %,3.63%,363,0,,Critical Chance %,1.38%,138,1,1389,Speed,5,50000,1,538950,Offense,36,360000,1,3538788,Defense,5,50000,1,514010,D,4,5,1,100.0,60.2,83.3,68.2,8.0,0.0,upgrade,0,0,0,0,27.0,0.0,41.5,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
hjMxj-p-R9uxIAYgqTp3lQ,552,Critical Chance,5,Arrow,2,9,False,0,False,MAGAZYN,,Health %,3.63%,363,0,,Protection,655,6550000,1,65571717,Defense %,1.01%,101,1,1017,Speed,5,50000,1,574140,Tenacity %,1.44%,144,1,1441,D,4,5,1,100.0,55.0,83.3,64.0,9.0,0.0,upgrade,0,0,0,0,22.3,0.0,34.3,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
pJzihfetR4CrcWnTNOGQrA,552,Critical Chance,5,Arrow,2,9,False,0,False,MAGAZYN,,Health %,3.63%,363,0,,Protection,816,8160000,1,81664592,Speed,5,50000,1,547290,Potency %,1.88%,188,1,1881,Defense %,1.4%,140,1,1404,D,4,5,1,100.0,56.0,83.3,64.8,8.8,0.0,upgrade,0,0,0,0,22.3,0.0,34.3,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
qGVcbGEcRIGEk5Tdj5YsHA,552,Critical Chance,5,Arrow,2,9,False,0,False,MAGAZYN,,Health %,3.63%,363,0,,Defense %,1.1%,110,1,1100,Speed,5,50000,1,574830,Defense,6,60000,1,628964,Protection,585,5850000,1,58594677,D,4,5,1,100.0,56.0,83.3,64.8,8.8,0.0,upgrade,0,0,0,0,27.4,0.0,42.2,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
2Q927axjShaoJsnOJlCU4g,552,Critical Chance,5,Arrow,3,7,False,0,True,POSTAĆ: FIRSTORDERSPECIALFORCESPILOT,2FNKDRFzSVmSla755aKVqQ,Speed,15,150000,0,,Offense,46,460000,1,4542672,Defense,5,50000,1,543018,Potency %,1.96%,196,1,1966,Defense %,1.05%,105,1,1052,C,4,6,2,100.0,48.0,0.0,59.3,11.3,0.0,upgrade,0,0,0,0,29.8,95.1,16.5,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
6bOlIB2uTfGHtMeCf6njCQ,552,Critical Chance,5,Arrow,3,6,False,0,False,MAGAZYN,,Health %,2.5%,250,0,,Critical Chance %,1.58%,158,1,1588,Tenacity %,1.26%,126,1,1267,Speed,5,50000,1,545520,Offense,25,250000,1,2496144,C,4,6,2,100.0,59.2,83.3,72.8,13.6,0.0,upgrade,0,0,0,0,21.9,0.0,33.7,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
6OZh5x_jRsOfidSk_QDxOQ,552,Critical Chance,5,Arrow,1,1,False,0,True,POSTAĆ: IG86SENTINELDROID,_2L-fZJ-RlWIgv7v8PDIBQ,Speed,4,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,,E,0,4,4,0.0,0.0,0.0,0.0,0,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
70DpMItISka9oo0nTcOAbA,552,Critical Chance,5,Arrow,4,1,False,0,True,POSTAĆ: ASAJJDARKDISCIPLE,6kd7K3mvTfGRd4B_leov2Q,Speed,4,40000,0,,Offense,30,300000,1,2920452,Health %,0.97%,97,1,971,Protection %,1.54%,154,1,1547,,,,0,,B,3,7,4,100.0,74.7,0.0,78.9,4.2,0.0,upgrade,0,0,0,0,34.2,95.1,23.3,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
BUqrUSuHS9CYnaQnxFcOXQ,552,Critical Chance,5,Arrow,1,1,False,0,True,POSTAĆ: DEATHTROOPER,IjtFAB8WS0i9xHoj9o97Ww,Speed,4,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,,E,0,4,4,0.0,0.0,0.0,0.0,0,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
CkHvHt35TzuHkDb8pvyUFA,552,Critical Chance,5,Arrow,2,1,False,0,True,POSTAĆ: NIGHTSISTERACOLYTE,cpJlNZsaRV-Sn2cV0HaJAQ,Speed,4,40000,0,,Health,315,3150000,1,31551389,,,,0,,,,,0,,,,,0,,D,1,5,4,100.0,48.0,0.0,48.0,0,0.0,upgrade,0,0,0,0,39.9,95.1,32.1,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
JM2SJZicRNKtBSQ7wLpcWw,552,Critical Chance,5,Arrow,1,1,False,0,False,MAGAZYN,,Speed,4,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,,E,0,4,4,0.0,0.0,0.0,0.0,0,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
Kpro-AEER1e_vr7H9yFhIw,552,Critical Chance,5,Arrow,5,1,False,0,False,MAGAZYN,,Health %,0.63%,63,0,,Protection %,1.76%,176,1,1765,Speed,5,50000,1,521100,Offense %,0.33%,33,1,333,Offense,26,260000,1,2584152,A,4,8,4,100.0,86.0,83.3,93.0,7.0,38.6,upgrade,0,0,0,0,27.6,0.0,42.5,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
SDvxHRYJRz-vbFMfjLVppA,552,Critical Chance,5,Arrow,3,1,False,0,True,POSTAĆ: JANGOFETT,aDW9AWUPTXewZQM3KFrxIg,Speed,4,40000,0,,Defense %,1.27%,127,1,1274,Potency %,1.62%,162,1,1621,,,,0,,,,,0,,C,2,6,4,100.0,38.0,0.0,40.7,2.7,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
Ur_pFtdvRdmWrk3MKJvn-w,552,Critical Chance,5,Arrow,4,1,False,0,True,POSTAĆ: ITHANO,I6lWT32LQ66nfZ8QDQgnQg,Speed,4,40000,0,,Defense %,0.88%,88,1,884,Offense,39,390000,1,3880332,Defense,8,80000,1,823102,,,,0,,B,3,7,4,100.0,52.7,0.0,69.4,16.8,0.0,upgrade,0,0,0,0,33.3,95.1,22.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
baJ6tSN_RnaEWnYAmUuI0A,552,Critical Chance,5,Arrow,1,1,False,0,True,POSTAĆ: BADBATCHHUNTER,ftgjVcXCTeG9kkOKfFlUNA,Speed,4,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,,E,0,4,4,0.0,0.0,0.0,0.0,0,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
dpl9FxjuQQC7B3omrGoTTQ,552,Critical Chance,5,Arrow,2,1,False,0,False,MAGAZYN,,Offense %,0.63%,63,0,,Speed,5,50000,1,536760,,,,0,,,,,0,,,,,0,,D,1,5,4,100.0,100.0,83.3,100.0,0,0.0,upgrade,0,0,0,0,65.0,0.0,100.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
e3_lAUV2RsKSkc6J-iCTxg,552,Critical Chance,5,Arrow,3,1,False,0,False,MAGAZYN,,Speed,4,40000,0,,Tenacity %,1.31%,131,1,1318,Protection,545,5450000,1,54557961,,,,0,,,,,0,,C,2,6,4,100.0,39.0,0.0,45.0,6.0,0.0,upgrade,0,0,0,0,31.2,95.1,18.7,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
goEDPDMJQVKQiRbOG3-kdA,552,Critical Chance,5,Arrow,4,1,False,0,True,POSTAĆ: SMUGGLERHAN,6rtX-2-GT3iPpVPb0Ha2NA,Speed,4,40000,0,,Tenacity %,2.1%,210,1,2104,Health %,0.64%,64,1,645,Defense,5,50000,1,597016,,,,0,,B,3,7,4,100.0,45.3,0.0,60.6,15.2,0.0,upgrade,0,0,0,0,25.8,95.1,10.4,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
hzbLCoUmRMGK0KwHb7SDNA,552,Critical Chance,5,Arrow,1,1,False,0,False,MAGAZYN,,Speed,4,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,,E,0,4,4,0.0,0.0,0.0,0.0,0,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
kh_2YMihRVmWO839inH8Rw,552,Critical Chance,5,Arrow,1,1,False,0,True,POSTAĆ: YOUNGHAN,1sX1NWmXQjazGjpr_R39Eg,Speed,4,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,,E,0,4,4,0.0,0.0,0.0,0.0,0,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
nC4G4JtNRTe9syffBjskTg,552,Critical Chance,5,Arrow,1,1,False,0,True,POSTAĆ: SITHMARAUDER,KhTJFN1rSYC3fNW3msb0Bw,Speed,4,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,,E,0,4,4,0.0,0.0,0.0,0.0,0,0.0,upgrade,0,0,0,0,19.0,95.1,0.0,0.0,JARJARBINKS,CANDIDATE,UPGRADE,nieujawnione wszystkie secondary,0.0,,,,,,,,,,,,,,,,,,,,,,,
