name,definitionId,baseId,id,rarity,level,gearTier,relicTier
Home One,CAPITALMONCALAMARICRUISER:SEVEN_STAR,CAPITALMONCALAMARICRUISER,ZXVQ7uA3QIevfKA3d1mp3g,7,85,1,
TIE Silencer,TIESILENCER:SEVEN_STAR,TIESILENCER,_YjCfsz6SZ2DKGxtCZXgHQ,7,85,1,
BTL-B Y-wing Starfighter,YWINGCLONEWARS:FOUR_STAR,YWINGCLONEWARS,2GPgFELMQGaSTG_PhWiPtg,4,85,1,
Biggs Darklighter's X-wing,XWINGRED3:SEVEN_STAR,XWINGRED3,NU-xqF-HS_a2OMtJwlCvfg,7,85,1,
Executrix,CAPITALSTARDESTROYER:SEVEN_STAR,CAPITALSTARDESTROYER,ePsSJizBTxOTtd1_QN2YNQ,7,85,1,
Wedge Antilles's X-wing,XWINGRED2:SEVEN_STAR,XWINGRED2,aohti80SRpuvLCpebkUVFQ,7,85,1,
Ahsoka Tano's Jedi Starfighter,JEDISTARFIGHTERAHSOKATANO:SEVEN_STAR,JEDISTARFIGHTERAHSOKATANO,XDID7aitSDCBKp1Y9F292A,7,85,1,
Negotiator,CAPITALNEGOTIATOR:SEVEN_STAR,CAPITALNEGOTIATOR,KGpVYk2mQVy98qHZG5ci9A,7,85,1,
Imperial TIE Fighter,TIEFIGHTERIMPERIAL:SEVEN_STAR,TIEFIGHTERIMPERIAL,_GRHfAiDSMGeBsPYNFIYew,7,85,1,
Clone Sergeant's ARC-170,ARC170CLONESERGEANT:SEVEN_STAR,ARC170CLONESERGEANT,JMVblcMaQE-XO-GHgVR9ng,7,85,1,
TIE Dagger,TIEDAGGER:FIVE_STAR,TIEDAGGER,yxiAa7BpTamPLm8I_StvPg,5,85,1,
Punishing One,PUNISHINGONE:FIVE_STAR,PUNISHINGONE,Bzzi-zjGREuYoAt9yDWR8g,5,85,1,
Endurance,CAPITALJEDICRUISER:SEVEN_STAR,CAPITALJEDICRUISER,VyjVcYdUT-2PZVgG7s0uiA,7,85,1,
TIE/IN Interceptor Prototype,TIEINTERCEPTOR:FIVE_STAR,TIEINTERCEPTOR,gFlYQ7OIQPGEDmfMzxnw6g,5,85,1,
Chimaera,CAPITALCHIMAERA:SEVEN_STAR,CAPITALCHIMAERA,F6P5_Gk2Th6MuWJqtp83Ng,7,85,1,
Phantom II,PHANTOM2:SEVEN_STAR,PHANTOM2,h_fEJUSzRd-4oyKosMp3kg,7,85,1,
Geonosian Soldier's Starfighter,GEONOSIANSTARFIGHTER2:SEVEN_STAR,GEONOSIANSTARFIGHTER2,2JqToYKsRDalCgASP9YQTw,7,85,1,
Sun Fac's Geonosian Starfighter,GEONOSIANSTARFIGHTER1:SEVEN_STAR,GEONOSIANSTARFIGHTER1,07mQaLj2RFiZ-Rj4_RTQrw,7,85,1,
Geonosian Spy's Starfighter,GEONOSIANSTARFIGHTER3:SEVEN_STAR,GEONOSIANSTARFIGHTER3,wdo05QkJTn-DmLT_P6HQSg,7,85,1,
Poe Dameron's X-wing,XWINGBLACKONE:SEVEN_STAR,XWINGBLACKONE,anYzYx3nT9uqaBeQ0Z1nJA,7,85,1,
Gauntlet Starfighter,GAUNTLETSTARFIGHTER:SEVEN_STAR,GAUNTLETSTARFIGHTER,mdBxzoUbRnGks0EV3sep0g,7,85,1,
Finalizer,CAPITALFINALIZER:SEVEN_STAR,CAPITALFINALIZER,VxgdTaMlRmiFKL-YK0RJZg,7,85,1,
TIE Reaper,TIEREAPER:FOUR_STAR,TIEREAPER,atkuYWISRvquisOpWJxIVQ,4,85,1,
Hyena Bomber,HYENABOMBER:FOUR_STAR,HYENABOMBER,n3prHftPRimzCD1s5WnLZw,4,85,1,
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR:SEVEN_STAR,JEDISTARFIGHTERCONSULAR,e86Alwu2RlO0JC0OGSma8A,7,85,1,
TIE Defender,TIEDEFENDER:FIVE_STAR,TIEDEFENDER,UFAyqZ1ESROVUvKC3kvPZg,5,85,1,
Rebel Y-wing,YWINGREBEL:SEVEN_STAR,YWINGREBEL,D9vYCcpRSvGLHC9OnMCcAA,7,85,1,
