id,definitionId,set,dots,slot,tier,level,locked,rerolledCount,equipped,source,assignedTo,primaryStat,primaryValue,primaryValueRaw,primaryRolls,primaryRawRolls,secondary1Stat,secondary1Value,secondary1ValueRaw,secondary1Rolls,secondary1RawRolls,secondary2Stat,secondary2Value,secondary2ValueRaw,secondary2Rolls,secondary2RawRolls,secondary3Stat,secondary3Value,secondary3ValueRaw,secondary3Rolls,secondary3RawRolls,secondary4Stat,secondary4Value,secondary4ValueRaw,secondary4Rolls,secondary4RawRolls
pJzihfetR4CrcWnTNOGQrA,552,Critical Chance,5,Arrow,2,9,False,0,False,unequippedMod,,Offense,363,363,0,,Protection %,8.16%,8160000,1,81664592,Offense %,0.05%,50000,1,547290,Defense %,0.000188%,188,1,1881,Protection,140,140,1,1404
qGVcbGEcRIGEk5Tdj5YsHA,552,Critical Chance,5,Arrow,2,9,False,0,False,unequippedMod,,Offense,363,363,0,,Protection,110,110,1,1100,Offense %,0.05%,50000,1,574830,Tenacity %,0.06%,60000,1,628964,Protection %,5.85%,5850000,1,58594677
2Q927axjShaoJsnOJlCU4g,552,Critical Chance,5,Arrow,3,7,False,0,True,equippedStatMod,,Offense %,0.15%,150000,0,,Critical Avoidance %,0.46%,460000,1,4542672,Tenacity %,0.05%,50000,1,543018,Defense %,0.000196%,196,1,1966,Protection,105,105,1,1052
6bOlIB2uTfGHtMeCf6njCQ,552,Critical Chance,5,Arrow,3,6,False,0,False,unequippedMod,,Offense,250,250,0,,Defense,158,158,1,1588,Potency %,0.000126%,126,1,1267,Offense %,0.05%,50000,1,545520,Critical Avoidance %,0.25%,250000,1,2496144
6OZh5x_jRsOfidSk_QDxOQ,552,Critical Chance,5,Arrow,1,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
70DpMItISka9oo0nTcOAbA,552,Critical Chance,5,Arrow,4,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,Critical Avoidance %,0.3%,300000,1,2920452,Offense,97,97,1,971,Speed,154,154,1,1547,,,,0,
BUqrUSuHS9CYnaQnxFcOXQ,552,Critical Chance,5,Arrow,1,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
CkHvHt35TzuHkDb8pvyUFA,552,Critical Chance,5,Arrow,2,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,Health %,3.15%,3150000,1,31551389,,,,0,,,,,0,,,,,0,
JM2SJZicRNKtBSQ7wLpcWw,552,Critical Chance,5,Arrow,1,1,False,0,False,unequippedMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
Kpro-AEER1e_vr7H9yFhIw,552,Critical Chance,5,Arrow,5,1,False,0,False,unequippedMod,,Offense,63,63,0,,Speed,176,176,1,1765,Offense %,0.05%,50000,1,521100,Health,33,33,1,333,Critical Avoidance %,0.26%,260000,1,2584152
SDvxHRYJRz-vbFMfjLVppA,552,Critical Chance,5,Arrow,3,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,Protection,127,127,1,1274,Defense %,0.000162%,162,1,1621,,,,0,,,,,0,
Ur_pFtdvRdmWrk3MKJvn-w,552,Critical Chance,5,Arrow,4,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,Protection,88,88,1,884,Critical Avoidance %,0.39%,390000,1,3880332,Tenacity %,0.08%,80000,1,823102,,,,0,
baJ6tSN_RnaEWnYAmUuI0A,552,Critical Chance,5,Arrow,1,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
dpl9FxjuQQC7B3omrGoTTQ,552,Critical Chance,5,Arrow,2,1,False,0,False,unequippedMod,,Health,63,63,0,,Offense %,0.05%,50000,1,536760,,,,0,,,,,0,,,,,0,
e3_lAUV2RsKSkc6J-iCTxg,552,Critical Chance,5,Arrow,3,1,False,0,False,unequippedMod,,Offense %,0.04%,40000,0,,Potency %,0.000131%,131,1,1318,Protection %,5.45%,5450000,1,54557961,,,,0,,,,,0,
goEDPDMJQVKQiRbOG3-kdA,552,Critical Chance,5,Arrow,4,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,Potency %,0.00021%,210,1,2104,Offense,64,64,1,645,Tenacity %,0.05%,50000,1,597016,,,,0,
hzbLCoUmRMGK0KwHb7SDNA,552,Critical Chance,5,Arrow,1,1,False,0,False,unequippedMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
kh_2YMihRVmWO839inH8Rw,552,Critical Chance,5,Arrow,1,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
nC4G4JtNRTe9syffBjskTg,552,Critical Chance,5,Arrow,1,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
nNywN_lXSOOK2FTCTjgS1A,552,Critical Chance,5,Arrow,3,1,False,0,False,unequippedMod,,Offense,63,63,0,,Tenacity %,0.07%,70000,1,764008,Offense %,0.05%,50000,1,505200,,,,0,,,,,0,
wyXhqJu7RMaSWAFiYRVv7A,552,Critical Chance,5,Arrow,4,1,False,0,True,equippedStatMod,,Offense %,0.04%,40000,0,,Critical Avoidance %,0.24%,240000,1,2340648,Offense,103,103,1,1038,Defense,208,208,1,2083,,,,0,
z3alDD2UQwKQF_4iZwTjzA,552,Critical Chance,5,Arrow,1,1,False,0,False,unequippedMod,,Offense %,0.04%,40000,0,,,,,0,,,,,0,,,,,0,,,,,0,
EJmrwANhTW2iCem3C78wjA,555,Critical Chance,5,Circle,4,15,False,0,True,equippedStatMod,,Offense,588,588,0,,Health,49,49,1,492,Critical Avoidance %,1.12%,1120000,3,3606504|3200208|4387176,Offense %,0.05%,50000,1,583020,Health %,5.46%,5460000,2,29922709|24715219
JYWRpA7jQS6pNEq8i6kcuw,555,Critical Chance,5,Circle,3,15,False,0,True,equippedStatMod,,Speed,2350,2350,0,,Defense %,0.000411%,411,2,2151|1961,Critical Avoidance %,0.45%,450000,1,4491144,Protection %,10.61%,10610000,2,46218737|59931943,Offense %,0.04%,40000,1,479880
Qj8aya7mRcS2Wv4AznlWsg,555,Critical Chance,5,Circle,2,15,False,0,True,equippedStatMod,,Speed,2350,2350,0,,Potency %,0.000215%,215,1,2150,Defense %,0.000198%,198,1,1987,Critical Avoidance %,0.55%,550000,2,2669424|2820816,Offense %,0.05%,50000,1,551070
U5TMyHAcRamJ7QHtuYO5gw,555,Critical Chance,5,Circle,4,15,False,0,True,equippedStatMod,,Speed,2350,2350,0,,Offense %,0.04%,40000,1,410010,Defense,207,207,1,2075,Offense,94,94,1,944,Potency %,0.000761%,761,4,1768|2049|1935|1861
U6-Rm9s-QzO0JRe28hqwIA,555,Critical Chance,5,Circle,5,15,False,0,False,unequippedMod,,Offense,588,588,0,,Defense %,0.000168%,168,1,1688,Health,126,126,3,422|422|422,Offense %,0.15%,150000,3,500010|500010|500010,Health %,3.21%,3210000,1,32145000
aDJr8oUfSsO6z0cNFGnZ7g,555,Critical Chance,5,Circle,4,15,False,0,True,equippedStatMod,,Speed,2350,2350,0,,Defense,357,357,2,2022|1556,Protection,95,95,1,959,Offense %,0.05%,50000,1,508110,Health,149,149,3,463|524|509
ibU6W5LfQqmRApDyC0CvUA,555,Critical Chance,5,Circle,3,15,True,0,True,equippedStatMod,,Speed,2350,2350,0,,Offense %,0.05%,50000,1,507990,Health,44,44,1,443,Protection,128,128,1,1286,Defense %,0.000546%,546,3,1963|1554|1949
nZORtV5zTfW45-V2FHN6Pw,555,Critical Chance,5,Circle,4,15,False,0,True,equippedStatMod,,Offense,588,588,0,,Health,84,84,2,346|498,Offense %,0.09%,90000,2,530190|405270,Tenacity %,0.08%,80000,1,863527,Protection %,11.47%,11470000,2,50949004|63810845
ocfaYIB5TTWeh-BrMlL_Jg,555,Critical Chance,5,Circle,2,15,False,0,True,equippedStatMod,,Offense,588,588,0,,Offense %,0.05%,50000,1,506280,Protection %,6.17%,6170000,1,61767569,Health,90,90,2,434|466,Tenacity %,0.08%,80000,1,845348
-pUi4GLpRUON4Dg5IhrkTA,555,Critical Chance,5,Circle,1,12,False,0,True,equippedStatMod,,Offense,475,475,0,,Offense %,0.05%,50000,1,596520,Tenacity %,0.08%,80000,1,824670,Health,28,28,1,288,Health %,2.63%,2630000,1,26373901
3CRYY8xnQeKUzRVMngkAVQ,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Critical Avoidance %,0.41%,410000,1,4050876,Offense %,0.05%,50000,1,588480,Health,53,53,1,539,Health %,2.4%,2400000,1,24055175
91jkn2knS2SCLNBIoCUwIQ,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Speed,143,143,1,1431,Protection,133,133,1,1331,Offense %,0.05%,50000,1,547230,Potency %,0.000209%,209,1,2098
HeU4GFt_TDqz8aEwKGek1w,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Defense %,0.000185%,185,1,1850,Health %,3.45%,3450000,1,34538731,Protection,154,154,1,1544,Offense %,0.05%,50000,1,593130
I7hPzWjoRruQ0nNEmujkBg,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Offense %,0.05%,50000,1,516180,Protection %,6.97%,6970000,1,69757941,Health %,2.93%,2930000,1,29397674,Health,49,49,1,499
IXA8TAlzSlSHQsw3JRKZyQ,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Defense,219,219,1,2199,Offense %,0.05%,50000,1,574230,Potency %,0.000128%,128,1,1289,Health %,3.29%,3290000,1,32976484
Iws2O27cTH6cFhrJXtW1iw,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Defense %,0.000199%,199,1,1997,Health %,2.91%,2910000,1,29164087,Speed,190,190,1,1905,Offense %,0.05%,50000,1,520500
L6QZNwDjSBKhlHgs49qwXQ,555,Critical Chance,5,Circle,1,12,False,0,True,equippedStatMod,,Speed,1900,1900,0,,Offense %,0.05%,50000,1,539520,Health,50,50,1,501,Defense,144,144,1,1446,Defense %,0.000154%,154,1,1547
O24xVx7WSbC9s0VA75ZVWQ,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Speed,112,112,1,1127,Defense,166,166,1,1660,Protection %,7.09%,7090000,1,70920781,Offense %,0.05%,50000,1,572580
OnW089KQRn-ztq1RuanCQg,555,Critical Chance,5,Circle,1,12,False,0,True,equippedStatMod,,Speed,1900,1900,0,,Health %,2.27%,2270000,1,22711514,Critical Avoidance %,0.26%,260000,1,2534676,Tenacity %,0.07%,70000,1,774592,Offense %,0.05%,50000,1,513900
SGKEfqGpRrukF-QcvKz-MQ,555,Critical Chance,5,Circle,1,12,False,0,True,equippedStatMod,,Speed,1900,1900,0,,Offense %,0.05%,50000,1,592500,Offense,98,98,1,986,Defense %,0.000195%,195,1,1951,Potency %,0.000151%,151,1,1513
bHrblbg_Rd2vNhDO7hOL_Q,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Defense,195,195,1,1952,Health,33,33,1,330,Health %,3.47%,3470000,1,34714457,Offense %,0.05%,50000,1,575850
pNhL2vrERQGwS7u-qU8RBA,555,Critical Chance,5,Circle,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Offense %,0.05%,50000,1,509910,Potency %,0.000191%,191,1,1911,Critical Avoidance %,0.41%,410000,1,4005276,Tenacity %,0.09%,90000,1,955549
tr7T1apSRzqvh_fYYsgLcA,555,Critical Chance,5,Circle,1,12,False,0,True,equippedStatMod,,Offense,475,475,0,,Offense %,0.05%,50000,1,526200,Defense %,0.000163%,163,1,1630,Tenacity %,0.05%,50000,1,589666,Defense,129,129,1,1295
GevZllEISxK2IGhjf37VqA,555,Critical Chance,5,Circle,2,9,False,0,True,equippedStatMod,,Offense,363,363,0,,Health,41,41,1,418,Tenacity %,0.06%,60000,1,699622,Offense %,0.05%,50000,1,533490,Defense,175,175,1,1759
TD-YltfMQ7yXk2svMxIXxA,555,Critical Chance,5,Circle,2,9,False,0,True,equippedStatMod,,Offense,363,363,0,,Speed,201,201,1,2014,Protection,93,93,1,932,Defense %,0.000215%,215,1,2158,Offense %,0.05%,50000,1,521460
fXwxvADAQ26Y_EikLPuIgw,555,Critical Chance,5,Circle,2,9,False,0,True,equippedStatMod,,Offense,363,363,0,,Critical Avoidance %,0.25%,250000,1,2495688,Offense %,0.05%,50000,1,542340,Health %,2.58%,2580000,1,25891726,Defense,144,144,1,1447
isrBIE-2Q3ejD9YMzHFTvA,555,Critical Chance,5,Circle,2,9,False,0,False,unequippedMod,,Offense,363,363,0,,Protection,109,109,1,1090,Potency %,0.000156%,156,1,1569,Critical Avoidance %,0.31%,310000,1,3062040,Offense %,0.05%,50000,1,549930
wWVVllC9T-WW9H7hwTB1AQ,555,Critical Chance,5,Circle,3,6,False,0,True,equippedStatMod,,Offense,250,250,0,,Potency %,0.000158%,158,1,1587,Defense %,0.000115%,115,1,1157,Critical Avoidance %,0.38%,380000,1,3799392,Offense %,0.05%,50000,1,511620
Crd5tfkNQWGbYI9rRLbefw,555,Critical Chance,5,Circle,4,3,False,0,True,equippedStatMod,,Offense,138,138,0,,Defense %,0.000206%,206,1,2062,Tenacity %,0.07%,70000,1,734608,Speed,186,186,1,1861,Offense %,0.05%,50000,1,572910
Uyw1hMqdQUyEePu_Kti3_Q,555,Critical Chance,5,Circle,4,3,False,0,True,equippedStatMod,,Speed,550,550,0,,Tenacity %,0.06%,60000,1,607404,Health %,2.87%,2870000,1,28737630,Health,32,32,1,325,Offense %,0.05%,50000,1,547290
ag4KD7QSTYO89t2dc_N6qw,555,Critical Chance,5,Circle,4,3,False,0,True,equippedStatMod,,Offense,138,138,0,,Protection,142,142,1,1422,Tenacity %,0.09%,90000,1,953442,Protection %,6.21%,6210000,1,62182869,Offense %,0.05%,50000,1,576660
-I0B77BeSLKQ75d0yT-fTw,555,Critical Chance,5,Circle,4,1,False,0,True,equippedStatMod,,Offense,63,63,0,,Speed,168,168,1,1684,Protection,97,97,1,974,Offense %,0.05%,50000,1,599280,,,,0,
MqdooXRbRRyiPkdU802ebA,555,Critical Chance,5,Circle,4,1,False,0,True,equippedStatMod,,Offense,63,63,0,,Offense %,0.05%,50000,1,518790,Potency %,0.000152%,152,1,1522,Protection,109,109,1,1097,,,,0,
0xs4tHs0QoawYl0cdYKVTQ,556,Critical Chance,5,Cross,5,15,False,0,True,equippedStatMod,,Health,588,588,0,,Health %,6.34%,6340000,2,41462764|22006467,Protection,253,253,2,1630|901,Protection %,18.08%,18080000,3,79475961|53810421|47547697,Critical Avoidance %,0.24%,240000,1,2394684
JufC9mheRZW0bcYpBq4FiQ,556,Critical Chance,5,Cross,3,15,False,0,True,equippedStatMod,,Protection,1175,1175,0,,Offense %,0.1%,100000,2,528630|549180,Health,62,62,2,337|286,Protection %,5.85%,5850000,1,58578065,Speed,113,113,1,1139
NJhSKb16QdqCEiwDjGozQg,556,Critical Chance,5,Cross,2,15,False,0,True,equippedStatMod,,Speed,2350,2350,0,,Protection %,5.79%,5790000,1,57901126,Offense %,0.05%,50000,1,501510,Health,93,93,2,552|380,Defense,177,177,1,1774
r2VkW0eIS3-IYaomXeqIYw,556,Critical Chance,5,Cross,1,15,False,0,True,equippedStatMod,,Speed,2350,2350,0,,Protection %,7.96%,7960000,1,79642081,Offense %,0.05%,50000,1,531270,Defense %,0.000189%,189,1,1894,Health %,3.07%,3070000,1,30760622
0Z8XEuMCTE2g5yeGrczUEw,556,Critical Chance,5,Cross,1,12,False,0,False,unequippedMod,,Potency %,0.00195%,1950,0,,Protection,111,111,1,1112,Health,29,29,1,290,Offense %,0.05%,50000,1,597150,Speed,168,168,1,1689
4pMJt4c-TK-RN1QYJ-mtzg,556,Critical Chance,5,Cross,1,12,False,0,False,unequippedMod,,Potency %,0.00195%,1950,0,,Critical Avoidance %,0.43%,430000,1,4206828,Protection,130,130,1,1304,Speed,189,189,1,1890,Offense %,0.05%,50000,1,529710
Y8fDPzTbR26HyV0bGPRZyg,556,Critical Chance,5,Cross,1,12,False,0,False,unequippedMod,,Protection,950,950,0,,Offense %,0.05%,50000,1,584610,Potency %,0.000119%,119,1,1198,Offense,84,84,1,846,Speed,153,153,1,1537
_cl3DRjcQhuLVvY14B2aOg,556,Critical Chance,5,Cross,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Health %,2.17%,2170000,1,21764308,Tenacity %,0.06%,60000,1,619017,Offense %,0.05%,50000,1,533820,Critical Avoidance %,0.45%,450000,1,4431180
crh1azIaS4eS-zp7BguwDw,556,Critical Chance,5,Cross,1,12,False,0,False,unequippedMod,,Speed,1900,1900,0,,Offense %,0.05%,50000,1,591990,Potency %,0.000222%,222,1,2227,Protection %,5.47%,5470000,1,54715775,Defense,198,198,1,1981
gtP1ROUTTMigNrLPxJ1Reg,556,Critical Chance,5,Cross,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Health %,3.73%,3730000,1,37382492,Speed,179,179,1,1793,Critical Avoidance %,0.37%,370000,1,3653244,Offense %,0.05%,50000,1,512160
uHfDGIydSKu81tugQ3ixXA,556,Critical Chance,5,Cross,1,12,False,0,False,unequippedMod,,Offense,475,475,0,,Health %,2.94%,2940000,1,29421247,Speed,156,156,1,1564,Health,44,44,1,443,Offense %,0.05%,50000,1,520320
jyA9wLD4QHORsTqNcak1KA,556,Critical Chance,5,Cross,2,9,False,0,False,unequippedMod,,Speed,1450,1450,0,,Protection %,8.26%,8260000,1,82644700,Tenacity %,0.06%,60000,1,658413,Health %,3.12%,3120000,1,31264227,Offense %,0.05%,50000,1,599670
oDOUIqfNR_Se5JuD59fhSA,556,Critical Chance,5,Cross,2,9,True,0,True,equippedStatMod,,Speed,1450,1450,0,,Health %,4.17%,4170000,1,41700637,Health,45,45,1,454,Protection,86,86,1,866,Offense %,0.05%,50000,1,546030
vxt3heeCRxGkSzW426UO6g,556,Critical Chance,5,Cross,2,9,False,0,False,unequippedMod,,Offense,363,363,0,,Potency %,0.000185%,185,1,1859,Protection,126,126,1,1266,Offense %,0.05%,50000,1,516060,Health,55,55,1,555
E1sbTh3qRNGPUlkefO813Q,556,Critical Chance,5,Cross,3,6,False,0,True,equippedStatMod,,Offense,250,250,0,,Speed,115,115,1,1150,Protection %,6.35%,6350000,1,63574124,Offense %,0.05%,50000,1,558060,Health,31,31,1,316
qYr-gBMUTdiYobFJchTADg,556,Critical Chance,5,Cross,3,6,False,0,True,equippedStatMod,,Protection,500,500,0,,Tenacity %,0.07%,70000,1,741566,Speed,143,143,1,1433,Critical Avoidance %,0.39%,390000,1,3883524,Offense %,0.05%,50000,1,568620
64LiaPP_StyTrwPbtTNbGg,556,Critical Chance,5,Cross,4,1,False,0,False,unequippedMod,,Potency %,0.0003%,300,0,,Health %,4.07%,4070000,1,40747002,Offense %,0.05%,50000,1,536820,Health,44,44,1,448,,,,0,
89PNwdpAQ4qiA-yHeINs5A,556,Critical Chance,5,Cross,3,1,False,0,True,equippedStatMod,,Protection,125,125,0,,Speed,160,160,1,1601,Offense %,0.05%,50000,1,526320,,,,0,,,,,0,
bcC7wHrZR4uoPHJJ6b2WGA,556,Critical Chance,5,Cross,2,1,False,0,False,unequippedMod,,Speed,250,250,0,,Offense %,0.05%,50000,1,565290,,,,0,,,,,0,,,,,0,
