name,baseId,definitionId,id,rarity,level,gearTier,relicTier
BT1,BT1,BT1:SEVEN_STAR,BM8YfesNREey0Pt2Ax4JzA,7,85,13,7
GEONOSIANSPY,GEONOSIANSPY,GEONOSIANSPY:SEVEN_STAR,dTxp0Op1QFasisO6SSNNLw,7,85,12,1
BASTILASHAN,BASTILASHAN,BASTILASHAN:SEVEN_STAR,dnE0ZmQURMC8x7WzoHVW6w,7,85,12,1
JAWA,JAWA,JAWA:SEVEN_STAR,5ywHMJ9JS6uKxXVPi5ef0w,7,85,11,1
QIRA,QIRA,QIRA:SEVEN_STAR,Gi9SANbjSlmcceP-ctVgpA,7,85,9,1
BADBATCHOMEGA,BADBATCHOMEGA,BADBATCHOMEGA:SEVEN_STAR,4s1nUTzYQmC_aSDUsZwVTQ,7,85,9,1
POE,POE,POE:SEVEN_STAR,UUEWhpzxRHSHN7A30aRySg,7,85,13,7
MERRIN,MERRIN,MERRIN:SEVEN_STAR,1S5-8PpPQBmMogCeTUjdjg,7,85,12,1
EIGHTHBROTHER,EIGHTHBROTHER,EIGHTHBROTHER:SEVEN_STAR,2TMYQqW4Qdqjr4ZD4ThE6A,7,85,13,9
TALIA,TALIA,TALIA:SEVEN_STAR,MGHSHYnwSkWTFZjOGEUreg,7,85,10,1
ADMIRALRADDUS,ADMIRALRADDUS,ADMIRALRADDUS:SIX_STAR,oPSOEm-jRP-cgGXfIXf7eg,6,85,13,7
NIGHTTROOPER,NIGHTTROOPER,NIGHTTROOPER:SEVEN_STAR,jeM4ja3PSAO-gl1knvsBYQ,7,85,11,1
NIGHTSISTERZOMBIE,NIGHTSISTERZOMBIE,NIGHTSISTERZOMBIE:SEVEN_STAR,COvJQSPFT4Gfo8VngKHKTg,7,85,9,1
STAP,STAP,STAP:SIX_STAR,gdcV7h1eR-O4BYyNd_yAkA,6,85,13,7
SCARIFREBEL,SCARIFREBEL,SCARIFREBEL:SEVEN_STAR,GCcqj7sLRhql1nUuT1xRhA,7,85,9,1
GRANDADMIRALTHRAWN,GRANDADMIRALTHRAWN,GRANDADMIRALTHRAWN:SEVEN_STAR,EE7VnvB4T0aIckRNrkNqAA,7,85,13,7
IMPERIALPROBEDROID,IMPERIALPROBEDROID,IMPERIALPROBEDROID:SEVEN_STAR,UYmgTdouSrS8VboRIomrtw,7,85,11,1
SABINEWRENS3,SABINEWRENS3,SABINEWRENS3:SEVEN_STAR,jEfaMS5YSUWnBpb1d-JyAw,7,85,13,5
YOUNGHAN,YOUNGHAN,YOUNGHAN:SEVEN_STAR,1sX1NWmXQjazGjpr_R39Eg,7,85,9,1
PAPLOO,PAPLOO,PAPLOO:SEVEN_STAR,awo_NEYISgeeJL0hZbGZEQ,7,85,12,1
SCOUTTROOPER_V3,SCOUTTROOPER_V3,SCOUTTROOPER_V3:SEVEN_STAR,EwvhlHGbS_a4Gk-O1KIWgg,7,85,9,1
EWOKELDER,EWOKELDER,EWOKELDER:SEVEN_STAR,z3sHtcymTXefNPlDiehKqQ,7,85,12,1
EPIXPOE,EPIXPOE,EPIXPOE:SEVEN_STAR,ftvNe6HXQwSotp8ykhi1eA,7,85,13,7
CROSSHAIRS3,CROSSHAIRS3,CROSSHAIRS3:SIX_STAR,VZaoVN_-Sh2WQ-_sXG6OKA,6,85,11,1
CHIEFCHIRPA,CHIEFCHIRPA,CHIEFCHIRPA:SEVEN_STAR,Dn4ab3A5QZWWDCv8qxRDfw,7,85,12,1
PADAWANSABINE,PADAWANSABINE,PADAWANSABINE:SEVEN_STAR,9ssuNwf-QcmcfINQPjIqEA,7,85,13,3
GENERALHUX,GENERALHUX,GENERALHUX:SEVEN_STAR,4xJRxbo2QFa9YMtrQdsX6Q,7,85,10,1
CT5555,CT5555,CT5555:SEVEN_STAR,vsWn91ssQVyOxZtaLPlqqg,7,85,10,1
VISASMARR,VISASMARR,VISASMARR:SEVEN_STAR,4Sxf6R0SSOmtftLRViCF1w,7,85,13,4
COMMANDERAHSOKA,COMMANDERAHSOKA,COMMANDERAHSOKA:SEVEN_STAR,CTmaWdlpSUOGpCcKqGJM4Q,7,85,13,7
LUKESKYWALKER,LUKESKYWALKER,LUKESKYWALKER:SEVEN_STAR,nLrjzg3uSFWnmJClrEe38A,7,85,13,3
BENSOLO,BENSOLO,BENSOLO:SEVEN_STAR,DX_lPsDmT8ui5n9qLexVhQ,7,85,13,8
GOPHERANTS,GOPHERANTS,GOPHERANTS:FOUR_STAR,88bG-xbUSMG9EAiD4v24gA,4,85,12,1
GAMORREANGUARD,GAMORREANGUARD,GAMORREANGUARD:SEVEN_STAR,jgOdEbDhTxmOgREBJSK81w,7,85,9,1
YODADSV,YODADSV,YODADSV:THREE_STAR,S3U9uHjMRUOcTSZwmMWQUg,3,83,9,1
KITFISTO,KITFISTO,KITFISTO:SEVEN_STAR,_IzZXS1PSpSB9HDxr5S_Dw,7,85,10,1
GREATMOTHERS,GREATMOTHERS,GREATMOTHERS:SEVEN_STAR,_9o2eZpKS1qVCYr7VBoyEQ,7,85,9,1
ANAKINKNIGHT,ANAKINKNIGHT,ANAKINKNIGHT:SEVEN_STAR,y_TVNxsQSHO8H95wHnzAMQ,7,85,13,5
ADMINISTRATORLANDO,ADMINISTRATORLANDO,ADMINISTRATORLANDO:SEVEN_STAR,hSjmg9v8T2qlZb_3hPb9-A,7,85,13,5
ADMIRALPIETT,ADMIRALPIETT,ADMIRALPIETT:SEVEN_STAR,Mz0_xu-vQt23Vd1Prv1rHw,7,85,13,10
GENERALSKYWALKER,GENERALSKYWALKER,GENERALSKYWALKER:SIX_STAR,vFXl2ZpkT3GCV4rvQ-gsgA,6,85,8,1
NIGHTSISTERSPIRIT,NIGHTSISTERSPIRIT,NIGHTSISTERSPIRIT:SEVEN_STAR,GcY6vIpnS8W6GE0IWWNSMg,7,85,9,1
CLONESERGEANTPHASEI,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:SEVEN_STAR,7KnyOYxwRIqOqf7x5FA73w,7,85,10,1
ADMIRALACKBAR,ADMIRALACKBAR,ADMIRALACKBAR:SEVEN_STAR,jJIXKTM-Rr2zx9rbTm1RHg,7,85,13,4
FULCRUMAHSOKA,FULCRUMAHSOKA,FULCRUMAHSOKA:SEVEN_STAR,gL8t8tzST0GDS7w4bToSxg,7,85,11,1
DEDRAMEERO,DEDRAMEERO,DEDRAMEERO:FOUR_STAR,PsfcOacmToil6fO6VBwhpQ,4,85,12,1
STORMTROOPER,STORMTROOPER,STORMTROOPER:SEVEN_STAR,XE8tVsfCS42CkGp2LbcfvA,7,85,10,1
HUNTERS3,HUNTERS3,HUNTERS3:SIX_STAR,fOvmK1oPT9GBBqelVUGiwQ,6,85,13,7
SCORCH,SCORCH,SCORCH:SEVEN_STAR,f3IgthdpQC2rd840MBfGag,7,85,13,7
LUMINARAUNDULI,LUMINARAUNDULI,LUMINARAUNDULI:SEVEN_STAR,9xjJ1FksQSOEtjqJLWBMIA,7,85,9,1
JANGOFETT,JANGOFETT,JANGOFETT:SEVEN_STAR,aDW9AWUPTXewZQM3KFrxIg,7,85,13,4
HOTHREBELSCOUT,HOTHREBELSCOUT,HOTHREBELSCOUT:SEVEN_STAR,tErdjSLFT8GIu_zK5I-RZA,7,85,10,1
NUTEGUNRAY,NUTEGUNRAY,NUTEGUNRAY:SEVEN_STAR,PFR4VQ6bQe2yWvcte7x62w,7,85,13,5
DISGUISEDCLONETROOPER,DISGUISEDCLONETROOPER,DISGUISEDCLONETROOPER:SEVEN_STAR,a0jCiVupS9u2cch-0qWa1w,7,85,13,7
VEERS,VEERS,VEERS:SEVEN_STAR,psU_fbWrRvmPvrnEGCuShA,7,85,11,1
QUIGGOLD,QUIGGOLD,QUIGGOLD:FOUR_STAR,B3mCleNuRuiQtWer9Zjqwg,4,85,9,1
4LOM,4LOM,4LOM:FOUR_STAR,umm1Guh0QlC-Mx4RUkOImg,4,85,10,1
CAPTAINENOCH,CAPTAINENOCH,CAPTAINENOCH:SIX_STAR,MYo2BupuSfCihon9rUfSwg,6,85,11,1
APPO,APPO,APPO:SEVEN_STAR,BYy6_mWtS8ao4M8ZdNvnBw,7,85,13,7
PAO,PAO,PAO:SEVEN_STAR,VzOKqed5QL-ozFtEou2_sg,7,85,9,1
DARTHTALON,DARTHTALON,DARTHTALON:SEVEN_STAR,7vBYi6d4QVm5KxO4eYBHZQ,7,85,13,7
STORMTROOPERLUKE,STORMTROOPERLUKE,STORMTROOPERLUKE:THREE_STAR,OphjjDj5R--eYhlRz4326w,3,85,12,1
IG88,IG88,IG88:SEVEN_STAR,_99o-Wu8SrO65c6RIrem8g,7,85,13,7
REY,REY,REY:SEVEN_STAR,XwrwbP9sTEGfCkSIggzntA,7,85,13,9
DARTHNIHILUS,DARTHNIHILUS,DARTHNIHILUS:SEVEN_STAR,zx4YAvQCQgW8iNmg1fKnLw,7,85,9,1
BRUTUS,BRUTUS,BRUTUS:FOUR_STAR,0GJlV2uVRWq0o-qgUIyXwA,4,85,9,1
EMPERORPALPATINE,EMPERORPALPATINE,EMPERORPALPATINE:SEVEN_STAR,xsF4e7dXTnKfT3PSKXMPNA,7,85,13,9
MONMOTHMA,MONMOTHMA,MONMOTHMA:SEVEN_STAR,NZxmA6jjT9mgRzvaiQYUbw,7,85,13,3
HOTHHAN,HOTHHAN,HOTHHAN:SEVEN_STAR,X6drLk0WTp2kXFq3_B3_3w,7,85,13,8
PLOKOON,PLOKOON,PLOKOON:SEVEN_STAR,xoy2sZzCSUCkBgyoxZ2UXg,7,85,10,1
DAKA,DAKA,DAKA:SEVEN_STAR,eDrXr0LsTNGvJezjXk8yVQ,7,85,9,1
GRANDMOFFTARKIN,GRANDMOFFTARKIN,GRANDMOFFTARKIN:SEVEN_STAR,MJi85yxFQUeaznaA7mkRPA,7,85,13,8
LOGRAY,LOGRAY,LOGRAY:SEVEN_STAR,GuFNgN4vTyCd6RkM9gKvUQ,7,85,12,1
CALKESTIS,CALKESTIS,CALKESTIS:SEVEN_STAR,BlZTr3AdRHy_YN4h5HTgbg,7,85,12,1
KELLERANBEQ,KELLERANBEQ,KELLERANBEQ:SEVEN_STAR,F9xPCLOjTE67usCPkus2uQ,7,85,13,4
GEONOSIANSOLDIER,GEONOSIANSOLDIER,GEONOSIANSOLDIER:SEVEN_STAR,LvNZqxXYT-GiIZkY9B14ZQ,7,85,13,7
CARADUNE,CARADUNE,CARADUNE:SEVEN_STAR,KEKoHlnlSSW1OzNJhH-ULw,7,85,13,4
CAPTAINREX,CAPTAINREX,CAPTAINREX:SEVEN_STAR,3gaeLq9BQs-Hg-ZQfRFU7Q,7,85,13,4
JAXXON,JAXXON,JAXXON:THREE_STAR,lt17HVZURIWyRX885uvSCg,3,73,9,1
RESISTANCETROOPER,RESISTANCETROOPER,RESISTANCETROOPER:SEVEN_STAR,UXe92bH9RBC-qNgRNgSpBg,7,85,13,7
HK47,HK47,HK47:SEVEN_STAR,_9JH3pT2SfaXaZ-0tHSQMw,7,85,12,1
TUSKENRAIDER,TUSKENRAIDER,TUSKENRAIDER:SEVEN_STAR,sHy99kMeT9O3EUIEUPMkHQ,7,85,9,1
DASHRENDAR,DASHRENDAR,DASHRENDAR:SEVEN_STAR,UvX9PUsvQNWgySnOmxD5Lw,7,85,13,7
CASSIANANDOR,CASSIANANDOR,CASSIANANDOR:SEVEN_STAR,S94VJOjBT-S1LJ-eDzR-Vg,7,85,12,1
MARROK,MARROK,MARROK:SIX_STAR,DC1h1YfjTMWLihdoiSJ0nw,6,85,9,1
DARTHTRAYA,DARTHTRAYA,DARTHTRAYA:SEVEN_STAR,T752Q156S962IXPWTPb_pQ,7,85,12,1
EPIXFINN,EPIXFINN,EPIXFINN:SEVEN_STAR,iEQuUOZJRwqSD8W1U0MFuw,7,85,13,7
BAZEMALBUS,BAZEMALBUS,BAZEMALBUS:SEVEN_STAR,hFJlCdqkS4WmlGjn4AsHbA,7,85,9,1
CAPTAINDROGAN,CAPTAINDROGAN,CAPTAINDROGAN:SEVEN_STAR,x_FQnn0_ShSNmm4-HLV34g,7,85,10,1
ZAALBAR,ZAALBAR,ZAALBAR:SEVEN_STAR,pPDISq-7SOKmBV4m1ltRvQ,7,85,13,7
CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:SEVEN_STAR,WhyOA0ViSSaj8EJPe4pYfw,7,85,13,7
KIX,KIX,KIX:FOUR_STAR,RYVROxb5RC6IbHLlENFRug,4,85,13,3
HUYANG,HUYANG,HUYANG:SIX_STAR,DRi0qZeRRkKUKuIu-ZZ2yA,6,85,13,3
COMMANDERLUKESKYWALKER,COMMANDERLUKESKYWALKER,COMMANDERLUKESKYWALKER:SEVEN_STAR,27cb4nt6QFGCCRFBpdPWxA,7,85,13,8
B2SUPERBATTLEDROID,B2SUPERBATTLEDROID,B2SUPERBATTLEDROID:SEVEN_STAR,GH4NR0ZxSSC_msZ_Rteadg,7,85,13,8
DEPABILLABA,DEPABILLABA,DEPABILLABA:SEVEN_STAR,ytWp8MF_Sgmq5dAEEOjNoA,7,85,13,7
DARTHSIDIOUS,DARTHSIDIOUS,DARTHSIDIOUS:SEVEN_STAR,GmfB36zGSFiJfT9Uc_4R7g,7,85,13,6
OLDBENKENOBI,OLDBENKENOBI,OLDBENKENOBI:SEVEN_STAR,MoOuSI5CQjSQr9fw_QqA2A,7,85,13,4
KYLORENUNMASKED,KYLORENUNMASKED,KYLORENUNMASKED:SEVEN_STAR,mmZzz2zbR36C6ye2aLObVg,7,85,12,1
YOUNGCHEWBACCA,YOUNGCHEWBACCA,YOUNGCHEWBACCA:SIX_STAR,iuUDyYYsQYiDZxTNS0SM9g,6,85,13,7
PAZVIZSLA,PAZVIZSLA,PAZVIZSLA:SIX_STAR,Sdi9ckGVSMmFCfDcS1nAAA,6,85,13,7
CINTA,CINTA,CINTA:FOUR_STAR,-AbkjNtpQkCyPKT00d4DhQ,4,85,12,1
YOUNGLANDO,YOUNGLANDO,YOUNGLANDO:SEVEN_STAR,z4RU3ZmER1G8dK2M15Ju6w,7,85,9,1
HANSOLO,HANSOLO,HANSOLO:SEVEN_STAR,vlBMnzBvScekhGF38W0oig,7,85,12,1
VADERDUELSEND,VADERDUELSEND,VADERDUELSEND:THREE_STAR,_KUFPspQSxWRSHALhdH9Yg,3,85,12,1
ARMORER,ARMORER,ARMORER:SIX_STAR,NSinPVNVS-uTPzn_RdGjdQ,6,85,13,7
DEATHTROOPERPERIDEA,DEATHTROOPERPERIDEA,DEATHTROOPERPERIDEA:SEVEN_STAR,8EduLvZETyu5sKFUcwYpAQ,7,85,11,1
SMUGGLERHAN,SMUGGLERHAN,SMUGGLERHAN:SEVEN_STAR,6rtX-2-GT3iPpVPb0Ha2NA,7,85,13,3
BADBATCHWRECKER,BADBATCHWRECKER,BADBATCHWRECKER:SIX_STAR,V_Loh6rGTpOcVM6_ulApig,6,85,9,1
ZORIIBLISS_V2,ZORIIBLISS_V2,ZORIIBLISS_V2:FIVE_STAR,OsO2zGm1RNijVuR2GT96iQ,5,85,12,1
THEMANDALORIAN,THEMANDALORIAN,THEMANDALORIAN:SEVEN_STAR,6lSlnvvGQTOnd0h0WeTJbQ,7,85,13,3
TRIPLEZERO,TRIPLEZERO,TRIPLEZERO:SEVEN_STAR,1ljjdZ07RbiZI3P80CgyEQ,7,85,13,7
UGNAUGHT,UGNAUGHT,UGNAUGHT:SEVEN_STAR,ZGlt-12-SZqEZEn-4Jp8Xw,7,85,13,7
FOSITHTROOPER,FOSITHTROOPER,FOSITHTROOPER:SIX_STAR,mtBm_ua2RVuRu6Fdi1Jnbw,6,85,13,7
IG90,IG90,IG90:THREE_STAR,zmPInyN9SueIbj64PxtTPA,3,85,12,1
RANGERZEB,RANGERZEB,RANGERZEB:THREE_STAR,meAyFKbATQqzPV2CeBZiDA,3,85,12,1
WAMPA,WAMPA,WAMPA:SEVEN_STAR,ZLJllvF0QfS-UkkZFA96iw,7,85,13,5
SMUGGLERCHEWBACCA,SMUGGLERCHEWBACCA,SMUGGLERCHEWBACCA:SEVEN_STAR,AL3U1YFvTpiUOvsx0_Nrwg,7,85,13,5
BOBAFETTSCION,BOBAFETTSCION,BOBAFETTSCION:SEVEN_STAR,S86GDwLbQCmEISKGZZyl-w,7,85,9,1
OPERATIVE,OPERATIVE,OPERATIVE:SEVEN_STAR,f1SXqj4iSEet5HYh6mq_Cg,7,85,13,7
GRANDINQUISITOR,GRANDINQUISITOR,GRANDINQUISITOR:SEVEN_STAR,JXvUIuMiSR6_2LS1vnLylA,7,85,12,1
ASAJJDARKDISCIPLE,ASAJJDARKDISCIPLE,ASAJJDARKDISCIPLE:THREE_STAR,6kd7K3mvTfGRd4B_leov2Q,3,85,12,1
DARKTROOPER,DARKTROOPER,DARKTROOPER:SEVEN_STAR,0cUSi_XpTM6gWuZVXoK4dg,7,85,12,1
DARTHREVAN,DARTHREVAN,DARTHREVAN:SEVEN_STAR,fLqeKdDzSRW4dMgHZirtpQ,7,85,12,1
HONDO,HONDO,HONDO:SEVEN_STAR,rRZOvE36Rtqgs4rIDAg8Vg,7,85,13,7
R2D2_LEGENDARY,R2D2_LEGENDARY,R2D2_LEGENDARY:SEVEN_STAR,8CyyNLINQ8mH0Al7cEHkcg,7,85,13,6
HUMANTHUG,HUMANTHUG,HUMANTHUG:SEVEN_STAR,N23ZfbdsQ6auQsqDhoBggQ,7,85,9,1
CAPTAINSILVO,CAPTAINSILVO,CAPTAINSILVO:FOUR_STAR,GfeI_j1jQaGE0PV27rwMGg,4,85,9,1
THEMANDALORIANBESKARARMOR,THEMANDALORIANBESKARARMOR,THEMANDALORIANBESKARARMOR:SEVEN_STAR,I4qYFU2aTeK4MpCuYsV6KA,7,85,13,3
GARSAXON,GARSAXON,GARSAXON:SEVEN_STAR,QZn6SLwUQ9iwlQD3Kn-yHA,7,85,12,1
CORUSCANTUNDERWORLDPOLICE,CORUSCANTUNDERWORLDPOLICE,CORUSCANTUNDERWORLDPOLICE:SEVEN_STAR,l4W95yMkRci4SwS5eE2Fqw,7,85,10,1
ITHANO,ITHANO,ITHANO:FOUR_STAR,I6lWT32LQ66nfZ8QDQgnQg,4,85,9,1
BISHOP,BISHOP,BISHOP:THREE_STAR,NjaU7OSURm-jSwNeoaDhoQ,3,85,12,1
ENFYSNEST,ENFYSNEST,ENFYSNEST:SEVEN_STAR,E2uFvOXURLCi22ncu8xP5g,7,85,13,7
MOTHERTALZIN,MOTHERTALZIN,MOTHERTALZIN:SEVEN_STAR,-6RSWKS_Qt-i4AoohGXimA,7,85,9,1
MORGANELSBETH,MORGANELSBETH,MORGANELSBETH:SEVEN_STAR,6CYwP6e4RNyTtmovj37aNw,7,85,12,1
BIGGSDARKLIGHTER,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:SEVEN_STAR,26GkhZfITD-drSSqkDpQpg,7,85,11,1
CC2224,CC2224,CC2224:SEVEN_STAR,m_J2fZDlR1qleanuhPmZRg,7,85,9,1
C3POLEGENDARY,C3POLEGENDARY,C3POLEGENDARY:SEVEN_STAR,pM9oOUHqQReNsQRXGGZYuQ,7,85,13,5
PADMEAMIDALA,PADMEAMIDALA,PADMEAMIDALA:SEVEN_STAR,wgt8iU2GQM6LL7Q58MWK8A,7,85,12,1
JEDIKNIGHTREVAN,JEDIKNIGHTREVAN,JEDIKNIGHTREVAN:SEVEN_STAR,ygHtxMMsQoi_z9K1Jk0OEg,7,85,13,7
NIGHTSISTERINITIATE,NIGHTSISTERINITIATE,NIGHTSISTERINITIATE:SEVEN_STAR,Sbag_OWRT_G6iN-SMQBxCw,7,85,9,1
CT7567,CT7567,CT7567:SEVEN_STAR,JLM-m7ixRCOVuvT1dBCzSQ,7,85,12,1
JEDIMASTERMACEWINDU,JEDIMASTERMACEWINDU,JEDIMASTERMACEWINDU:SEVEN_STAR,QskTvxpyQSuRJw-TRqVeaQ,7,85,8,1
MOFFGIDEONS1,MOFFGIDEONS1,MOFFGIDEONS1:SIX_STAR,HPnSQ9B5QYKlMeSpZV2uVg,6,85,10,1
MARAJADESKYWALKER,MARAJADESKYWALKER,MARAJADESKYWALKER:THREE_STAR,h-VQvmIvTVyRYhW_kRv-pA,3,83,9,1
ZAMWESELL,ZAMWESELL,ZAMWESELL:SEVEN_STAR,Nbq45D5tRcWX3Sq3C2ALRQ,7,85,12,1
JAWAENGINEER,JAWAENGINEER,JAWAENGINEER:SEVEN_STAR,BY7zFKqQTSmh8ADdAer1Lw,7,85,11,1
JEDIKNIGHTCAL,JEDIKNIGHTCAL,JEDIKNIGHTCAL:SEVEN_STAR,QIF5yMuQQKq3dp-_Ka3c2w,7,85,9,1
SANASTARROS,SANASTARROS,SANASTARROS:SEVEN_STAR,EdpU_ZugR4Ga4PFhc0l-HA,7,85,13,8
BOUSHH,BOUSHH,BOUSHH:SIX_STAR,BjneizhDSs6Mt1ltvIoDiw,6,85,10,1
TUSKENHUNTRESS,TUSKENHUNTRESS,TUSKENHUNTRESS:SEVEN_STAR,Om8oxl8XQyy1PCqOuPpJ3g,7,85,9,1
BOSSNASS,BOSSNASS,BOSSNASS:SEVEN_STAR,WLOqSLLFQCC54p0TxtvuGw,7,85,13,7
JEDIKNIGHTLUKE,JEDIKNIGHTLUKE,JEDIKNIGHTLUKE:SEVEN_STAR,EN-7CW7gQDS8UHUHgXX7Yg,7,85,8,1
SUNFAC,SUNFAC,SUNFAC:SEVEN_STAR,rKf6WvhwTAWYgMfQxpPddQ,7,85,12,1
STARKILLER,STARKILLER,STARKILLER:SEVEN_STAR,PM46gp3FRoSZVtzzXEorYQ,7,85,8,1
LOBOT,LOBOT,LOBOT:SEVEN_STAR,QDPo8AzSQ6iPC9yIs76NMw,7,85,12,1
